,rendement_moyen_annuel,volatilite_annuelle,rendement_min_journalier,rendement_max_journalier,correlation_CAC40
TTE.PA,0.12937869602792837,0.304386638431397,-0.16608337417483754,0.1507419492077542,0.6607928136708949
SU.PA,0.21843926504442682,0.2990612444183978,-0.1401798608029935,0.1201297246063131,0.7685335517656801
MC.PA,0.13120995247345493,0.30399178035367147,-0.08677878222860336,0.12811900727035774,0.7793776122212355
AI.PA,0.11066654575962614,0.20858169408680005,-0.11160334560651852,0.08259552008403204,0.7267236787151234
SAN.PA,0.05234358714767288,0.23306506249879916,-0.18932904615409518,0.08440479943774615,0.40285728419709177
AIR.PA,0.1554093110313215,0.39655167307545086,-0.22168465587582342,0.2046325454561957,0.7309432683296803
SAF.PA,0.20546102246360423,0.37974378083088123,-0.22873729503489582,0.20932665789725968,0.7526584820953002
BNP.PA,0.18408839753307987,0.34325910188842684,-0.13520336162209323,0.17980742707952446,0.7694864622762121
OR.PA,0.09858133455672352,0.24730623028574922,-0.07580267280513087,0.08437399233268339,0.6733408616957283
CS.PA,0.17005906167047322,0.26840234309928496,-0.15218380668863252,0.17563951116684318,0.7881809352407542
DG.PA,0.10603524828019356,0.2924052342915559,-0.17074443597444722,0.1884687448082354,0.7922835278614122
EL.PA,0.16586762670964045,0.26763857898966475,-0.10389845596325875,0.12979028598809594,0.6887070089311489
RMS.PA,0.23535476264220587,0.2789570198916366,-0.06541410089353816,0.09104334139629655,0.6891894715708518
KER.PA,-0.027547735266559417,0.35013595156031024,-0.12314698840165061,0.11762661588142032,0.6856560164631021
ACA.PA,0.15857694041487244,0.30719376178603874,-0.16863842376128257,0.13666940649007864,0.7577180780199193
