,rendement_moyen_annuel,volatilite_annuelle,rendement_min_journalier,rendement_max_journalier,correlation_CAC40,cluster_kmeans
TTE.PA,0.1293786960279283,0.304386638431397,-0.1660833741748375,0.1507419492077542,0.6607928136708949,1
SU.PA,0.2184392650444268,0.2990612444183978,-0.1401798608029935,0.1201297246063131,0.7685335517656801,1
MC.PA,0.1312099524734549,0.3039917803536714,-0.0867787822286033,0.1281190072703577,0.7793776122212355,0
AI.PA,0.1106665457596261,0.2085816940868,-0.1116033456065185,0.082595520084032,0.7267236787151234,0
SAN.PA,0.0523435871476728,0.2330650624987991,-0.1893290461540951,0.0844047994377461,0.4028572841970917,2
AIR.PA,0.1554093110313215,0.3965516730754508,-0.2216846558758234,0.2046325454561957,0.7309432683296803,1
SAF.PA,0.2054610224636042,0.3797437808308812,-0.2287372950348958,0.2093266578972596,0.7526584820953002,1
BNP.PA,0.1840883975330798,0.3432591018884268,-0.1352033616220932,0.1798074270795244,0.7694864622762121,1
OR.PA,0.0985813345567235,0.2473062302857492,-0.0758026728051308,0.0843739923326833,0.6733408616957283,0
CS.PA,0.1700590616704732,0.2684023430992849,-0.1521838066886325,0.1756395111668431,0.7881809352407542,1
DG.PA,0.1060352482801935,0.2924052342915559,-0.1707444359744472,0.1884687448082354,0.7922835278614122,1
EL.PA,0.1658676267096404,0.2676385789896647,-0.1038984559632587,0.1297902859880959,0.6887070089311489,0
RMS.PA,0.2353547626422058,0.2789570198916366,-0.0654141008935381,0.0910433413962965,0.6891894715708518,0
KER.PA,-0.0275477352665594,0.3501359515603102,-0.1231469884016506,0.1176266158814203,0.6856560164631021,1
ACA.PA,0.1585769404148724,0.3071937617860387,-0.1686384237612825,0.1366694064900786,0.7577180780199193,1
